trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
121,False,"{'a': 0.090003229246018, 'e': 0.08853787272595737}",20,3,16.881260430814233,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.09000290632141619, 'e': 0.08676711527143822}",25,14,19.23850851957947,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.09000261568927458, 'e': 0.08503177296600946}",35,20,24.765540759256666,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.09000235412034711, 'e': 0.08333113750668926}",20,8,-21.621901029953197,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.0900021187083124, 'e': 0.08166451475655548}",25,14,4.639678271905757,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.09000190683748116, 'e': 0.08003122446142437}",25,14,19.179778394032322,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.09000171615373305, 'e': 0.07843059997219588}",30,20,15.313984101292586,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.09000154453835975, 'e': 0.07686198797275196}",35,10,44.14480538244783,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.09000139008452376, 'e': 0.07532474821329692}",20,14,7.176192563150098,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.09000125107607139, 'e': 0.07381825324903098}",20,10,14.798585828172477,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.09000112596846425, 'e': 0.07234188818405035}",20,13,13.739229975204191,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.09000101337161782, 'e': 0.07089505042036935}",20,6,10.851154977030248,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.09000091203445604, 'e': 0.06947714941196197}",35,17,-9.02802819034406,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
134,False,"{'a': 0.09000082083101044, 'e': 0.06808760642372272}",30,17,24.32291092449816,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.0900007387479094, 'e': 0.06672585429524826}",30,12,34.841596782808665,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.09000066487311846, 'e': 0.0653913372093433}",20,12,15.304203536049336,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.09000059838580661, 'e': 0.06408351046515644}",20,0,33.073464261738465,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
138,False,"{'a': 0.09000053854722595, 'e': 0.0628018402558533}",20,16,8.174220773724905,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.09000048469250335, 'e': 0.061545803450736236}",20,11,16.486382529096648,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.09000043622325302, 'e': 0.060314887381721506}",25,11,24.88599852907582,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.09000039260092771, 'e': 0.05910858963408708}",25,14,12.278459632965149,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.09000035334083495, 'e': 0.057926417841405335}",25,8,26.055588117129503,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.09000031800675144, 'e': 0.05676788948457723}",30,14,23.912862074479982,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.09000028620607631, 'e': 0.05563253169488568}",20,5,24.93319191932808,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.09000025758546867, 'e': 0.054519881060987964}",20,9,17.118165830980985,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.09000023182692181, 'e': 0.05342948343976821}",25,9,16.706672704489378,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.09000020864422963, 'e': 0.05236089377097284}",30,18,22.128894240479532,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.09000018777980666, 'e': 0.051313675895553384}",25,7,28.427908060843155,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.09000016900182599, 'e': 0.050287402377642315}",25,10,26.676516946191995,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.0900001521016434, 'e': 0.04928165433008947}",25,5,26.71011479489495,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.09000013689147905, 'e': 0.048296021243487676}",20,7,-1.7869034578845564,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
152,False,"{'a': 0.09000012320233115, 'e': 0.04733010081861792}",30,15,18.860621111421224,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.09000011088209803, 'e': 0.046383498802245564}",20,4,28.691440690077453,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.09000009979388823, 'e': 0.04545582882620065}",25,12,21.7126783787616,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.0900000898144994, 'e': 0.044546712249676636}",25,17,12.624979942994292,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.09000008083304947, 'e': 0.04365577800468311}",20,9,19.178352149587145,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
